,complexity,loss,equation,score,sympy_format,lambda_format
0,1,9.1154305e-08,1.9852736e-7,0.0,1.98527360000000e-7,PySRFunction(X=>1.98527360000000E-7)
1,3,5.5393606e-08,x1 * 3.7440668e-6,0.24904477896017949,x1*3.7440668e-6,PySRFunction(X=>x1*3.7440668e-6)
2,5,4.487868e-08,(x2 * 2.628938e-5) * x0,0.10525066145637017,x2*2.628938e-5*x0,PySRFunction(X=>x2*2.628938e-5*x0)
3,7,4.2270376e-08,((x0 * x2) + x1) * 4.320471e-6,0.02993816964026218,(x0*x2 + x1)*4.320471e-6,PySRFunction(X=>(x0*x2 + x1)*4.320471e-6)
4,9,9.101253e-09,((x2 * x0) * 2.628938e-5) + (x1 * 3.76249e-6),0.7678372066924476,x2*x0*2.628938e-5 + x1*3.76249e-6,PySRFunction(X=>x2*x0*2.628938e-5 + x1*3.76249e-6)
5,11,6.547189e-09,(x1 + (((x0 * 7.5827713) + 0.38304284) * x2)) * 3.6895397e-6,0.1646881495628018,(x1 + x2*(x0*7.5827713 + 0.38304284))*3.6895397e-6,PySRFunction(X=>(x1 + x2*(x0*7.5827713 + 0.38304284))*3.6895397e-6)
6,13,3.800145e-09,1.2359616e-5 * (x1 + (x2 * ((x1 * -0.0077490937) + (2.037353 * x0)))),0.2719982866635472,1.2359616e-5*(x1 + x2*(2.037353*x0 + x1*(-0.0077490937))),PySRFunction(X=>1.2359616e-5*(x1 + x2*(2.037353*x0 + x1*(-0.0077490937))))
7,15,1.586855e-09,((((x1 * -0.007887767) + ((x0 + 0.097778685) + x0)) * x2) + x1) * 1.2923369e-5,0.43664257694443037,(x1 + x2*(x0 + x0 + x1*(-0.007887767) + 0.097778685))*1.2923369e-5,PySRFunction(X=>(x1 + x2*(x0 + x0 + x1*(-0.007887767) + 0.097778685))*1.2923369e-5)
8,17,9.318692e-10,((x1 + ((x2 * -0.0073289094) * x1)) + ((x0 + 0.050643213) * (x2 * 2.5283277))) * 1.0900101e-5,0.2661584437517284,(x2*(-0.0073289094)*x1 + x1 + (x0 + 0.050643213)*x2*2.5283277)*1.0900101e-5,PySRFunction(X=>(x2*(-0.0073289094)*x1 + x1 + (x0 + 0.050643213)*x2*2.5283277)*1.0900101e-5)
9,19,2.0540346e-10,(x1 + ((((x0 + (x0 + 0.14714412)) + (x1 * -0.007581914)) + x0) * (x2 + -5.9899645))) * 1.024002e-5,0.7561081594780934,(x1 + (x2 - 5.9899645)*(x0 + x0 + x0 + x1*(-0.007581914) + 0.14714412))*1.024002e-5,PySRFunction(X=>(x1 + (x2 - 5.9899645)*(x0 + x0 + x0 + x1*(-0.007581914) + 0.14714412))*1.024002e-5)
10,21,1.8176287e-10,(((x1 * x2) * -0.0073682033) + (x1 + ((x0 + 0.05055556) * ((x2 + (x2 * 1.7418189)) + -14.134497)))) * 1.0975607e-5,0.061136608535886955,(x1*x2*(-0.0073682033) + x1 + (x0 + 0.05055556)*(x2 + x2*1.7418189 - 14.134497))*1.0975607e-5,PySRFunction(X=>(x1*x2*(-0.0073682033) + x1 + (x0 + 0.05055556)*(x2 + x2*1.7418189 - 14.134497))*1.0975607e-5)
11,23,1.7714477e-10,((x1 + ((x0 + 0.05055556) * ((x2 + -14.134497) + ((x0 + x2) * 1.7418189)))) + (x2 * (x1 * -0.0073682033))) * 1.09856865e-5,0.012867808794188963,(x2*x1*(-0.0073682033) + x1 + (x0 + 0.05055556)*(x2 + (x0 + x2)*1.7418189 - 14.134497))*1.09856865e-5,PySRFunction(X=>(x2*x1*(-0.0073682033) + x1 + (x0 + 0.05055556)*(x2 + (x0 + x2)*1.7418189 - 14.134497))*1.09856865e-5)
12,25,1.7303999e-10,((((((((x0 + x0) + x2) * 1.7418189) + -14.134497) + x2) * (x0 + 0.04784106)) + x1) + ((x1 * -0.0073682033) * x2)) * 1.0986065e-5,0.011722292008934201,(x1*(-0.0073682033)*x2 + x1 + (x0 + 0.04784106)*(x2 + (x0 + x0 + x2)*1.7418189 - 14.134497))*1.0986065e-5,PySRFunction(X=>(x1*(-0.0073682033)*x2 + x1 + (x0 + 0.04784106)*(x2 + (x0 + x0 + x2)*1.7418189 - 14.134497))*1.0986065e-5)
13,27,1.6683865e-10,1.1156905e-5 * (x1 + (((-0.007419177 * x2) * x1) + (((-13.613699 + x2) + (((-0.00054269197 * x1) + 1.6988996) * (x0 + x2))) * (x0 + 0.04782858)))),0.018247773071719917,1.1156905e-5*(-0.007419177*x1*x2 + x1 + (x0 + 0.04782858)*(x2 + (1.6988996 - 0.00054269197*x1)*(x0 + x2) - 13.613699)),PySRFunction(X=>1.1156905e-5*(-0.007419177*x1*x2 + x1 + (x0 + 0.04782858)*(x2 + (1.6988996 - 0.00054269197*x1)*(x0 + x2) - 13.613699)))
14,29,1.5928629e-10,(x1 + (((x2 * -0.007419177) * x1) + (((x2 + (((x1 * -0.00054269197) + 1.6988996) * ((x0 * 2.9043584) + x2))) + -13.613699) * (x0 + 0.04782858)))) * 1.1156905e-5,0.023162014264552895,(x2*(-0.007419177)*x1 + x1 + (x0 + 0.04782858)*(x2 + (1.6988996 + x1*(-0.00054269197))*(x0*2.9043584 + x2) - 13.613699))*1.1156905e-5,PySRFunction(X=>(x2*(-0.007419177)*x1 + x1 + (x0 + 0.04782858)*(x2 + (1.6988996 + x1*(-0.00054269197))*(x0*2.9043584 + x2) - 13.613699))*1.1156905e-5)
15,31,1.5597734e-10,(x1 + (((x1 * (x2 + 1.2499983)) * -0.007336321) + ((((((x0 * 2.9043584) + x2) * ((x1 * -0.0005198644) + 1.698655)) + x2) + -13.613699) * (x0 + 0.047829926)))) * 1.1125976e-5,0.010496204446801617,(x1*(x2 + 1.2499983)*(-0.007336321) + x1 + (x0 + 0.047829926)*(x2 + (1.698655 + x1*(-0.0005198644))*(x0*2.9043584 + x2) - 13.613699))*1.1125976e-5,PySRFunction(X=>(x1*(x2 + 1.2499983)*(-0.007336321) + x1 + (x0 + 0.047829926)*(x2 + (1.698655 + x1*(-0.0005198644))*(x0*2.9043584 + x2) - 13.613699))*1.1125976e-5)
16,33,1.5455445e-10,(((((x2 + 1.2499983) * x1) * -0.007336321) + -0.22848634) + (x1 + ((x0 + 0.047829926) * ((((x2 + (x0 * 2.9521883)) * ((x1 * -0.0005198644) + 1.698655)) + x2) + -13.613699)))) * 1.1125976e-5,0.004582139427076701,((x2 + 1.2499983)*x1*(-0.007336321) + x1 + (x0 + 0.047829926)*(x2 + (1.698655 + x1*(-0.0005198644))*(x0*2.9521883 + x2) - 13.613699) - 0.22848634)*1.1125976e-5,PySRFunction(X=>((x2 + 1.2499983)*x1*(-0.007336321) + x1 + (x0 + 0.047829926)*(x2 + (1.698655 + x1*(-0.0005198644))*(x0*2.9521883 + x2) - 13.613699) - 0.22848634)*1.1125976e-5)
17,35,1.4699654e-10,(x1 + ((((x2 + 1.2499983) * x1) * -0.007336321) + ((((((x2 + ((x0 + x0) * 2.9043584)) * ((x1 * -0.0005198644) + 1.698655)) + x2) + -13.613699) * (x0 + 0.047829926)) + -0.22848634))) * 1.1125976e-5,0.02506870617381609,((x2 + 1.2499983)*x1*(-0.007336321) + x1 + (x0 + 0.047829926)*(x2 + (1.698655 + x1*(-0.0005198644))*(x2 + (x0 + x0)*2.9043584) - 13.613699) - 0.22848634)*1.1125976e-5,PySRFunction(X=>((x2 + 1.2499983)*x1*(-0.007336321) + x1 + (x0 + 0.047829926)*(x2 + (1.698655 + x1*(-0.0005198644))*(x2 + (x0 + x0)*2.9043584) - 13.613699) - 0.22848634)*1.1125976e-5)
18,37,1.443604e-10,(((x0 + 0.047829926) * ((x2 + (((x2 + ((x0 + x0) * 2.9043584)) * 1.698655) + ((x2 * x1) * -0.0005198644))) + -13.613699)) + ((x1 + (x1 * (-0.007336321 * (x2 + 1.110976)))) + -0.3400232)) * 1.1125976e-5,0.009048049232680405,(x1*(-0.007336321)*(x2 + 1.110976) + x1 + (x0 + 0.047829926)*(x2*x1*(-0.0005198644) + x2 + (x2 + (x0 + x0)*2.9043584)*1.698655 - 13.613699) - 0.3400232)*1.1125976e-5,PySRFunction(X=>(x1*(-0.007336321)*(x2 + 1.110976) + x1 + (x0 + 0.047829926)*(x2*x1*(-0.0005198644) + x2 + (x2 + (x0 + x0)*2.9043584)*1.698655 - 13.613699) - 0.3400232)*1.1125976e-5)
